brd_cd,sesn,account_id,대리상명칭(중국어),  amount  ,,,
I,26F,D001,上海凌博商贸有限公司,"3,818",,,
I,26F,D002,河南金安芯商贸有限公司,"2,344",,,
I,26F,D003,依梵(上海)品牌管理有限公司,"3,792",,,
I,26F,D004,哈尔滨麟嘉商贸有限公司,"11,003",,,
I,26F,D005,西安纳霁动力商贸有限公司,"1,591",,,
I,26F,D006,北京晶睿贸易发展有限公司,539,,,
I,26F,D008,沈阳固孚固贸易有限公司,"3,051",,,
I,26F,D010,云南欧隆贸易有限公司,,,,
I,26F,D011,成都市宝康服饰商贸有限公司,"2,595",,,
I,26F,D012,杭州宇振商业有限公司,"6,231",,,
I,26F,D014,重庆渲格商贸有限公司,"2,629",,,
I,26F,D016,武汉摩顶贸易有限公司,"2,039",,,
I,26F,D019,厦门时韫商贸有限公司,"3,992",,,
I,26F,D020,江西朝明潮贸易有限公司,700,,,
I,26F,D021,山西凌皓国际贸易有限公司,"2,064",,,
I,26F,D023,沈阳瑞元禾商贸有限公司,"2,520",,,
I,26F,D025,华初壹通国际贸易有限公司,"4,020",,,
I,26F,D027,常春藤(广州)投资有限公司,"2,331",,,
I,26F,D028,厦门百轮服饰有限公司,"9,699",,,
I,26F,D032,深圳有盈贸易有限公司,"1,387",,,
I,26F,D039,江苏骏溪网络科技有限公司,"1,852",,,
I,26F,D046,北京蓝梦宇其贸易有限公司,"1,020",,,
I,26F,D048,长沙市珀御商贸有限公司,"1,146",,,
I,26F,D050,青岛新航行贸易有限公司,,,,
I,26F,D051,江苏苏豪国际集团股份有限公司,"5,260",,,
I,26F,D063,南宁市菲诺电子科技有限公司,526,,,
I,26F,D070,北京绮妙科技有限公司,586,,,
I,26F,D072,云南恒磐商贸有限公司,"3,129",,,
I,26F,D073,山东德峻丰品牌管理有限公司,"3,085",,,
I,26F,D074,乌鲁木齐雏鹰浩涵商贸有限公司,"1,003",,,
I,26S,D001,上海凌博商贸有限公司,"3,706",,,
I,26S,D002,河南金安芯商贸有限公司,"3,100",,,
I,26S,D003,依梵(上海)品牌管理有限公司,"3,665",,,
I,26S,D004,哈尔滨麟嘉商贸有限公司,"15,200",,,
